year,month,day,hour,minute,second,recnt_Humidity,recnt_Temperature,Target_Humidity
2020.0,02.0,23.0,18.0,10.0,00.0,56.4,76.8,57.2
2020.0,02.0,23.0,18.0,20.0,00.0,57.2,76.4,57.4
2020.0,02.0,23.0,18.0,30.0,00.0,57.4,76.4,58.8
2020.0,02.0,23.0,18.0,40.0,00.0,58.8,76.0,58.8
2020.0,02.0,23.0,18.0,50.0,00.0,58.8,76.0,58.6
2020.0,02.0,23.0,19.0,00.0,00.0,58.6,76.2,59.8
2020.0,02.0,23.0,19.0,10.0,00.0,59.8,76.0,60.0
2020.0,02.0,23.0,19.0,20.0,00.0,60.0,76.0,61.0
2020.0,02.0,23.0,19.0,30.0,00.0,61.0,75.2,61.6
2020.0,02.0,23.0,19.0,40.0,00.0,61.6,75.2,61.8
2020.0,02.0,23.0,19.0,50.0,00.0,61.8,75.2,62.4
2020.0,02.0,23.0,20.0,00.0,00.0,62.4,75.0,61.8
2020.0,02.0,23.0,20.0,10.0,00.0,61.8,75.0,62.6
2020.0,02.0,23.0,20.0,20.0,00.0,62.6,74.6,63.4
2020.0,02.0,23.0,20.0,30.0,00.0,63.4,74.8,62.6
2020.0,02.0,23.0,20.0,40.0,00.0,62.6,75.0,63.0
2020.0,02.0,23.0,20.0,50.0,00.0,63.0,74.8,63.4
2020.0,02.0,23.0,21.0,00.0,00.0,63.4,74.2,64.0
2020.0,02.0,23.0,21.0,10.0,00.0,64.0,74.0,63.4
